IMDB_ID,Movie,Date,Genre,Length,Country,Rating,Director,Income
tt0086250,Scarface,1984-02-34,"Crime, Drama",170.0,USA,R,Brian De Palma,66023585
tt0075314,Taxi Driver,1976-13-24,"Crime, Drama",114.0,USA,R,Martin Scorsese,28441292
tt0211915,Le fabuleux destin d'Amélie Poulain,2002-01-25 00:00:00,"Comedy, Romance",122.0,France,R,Jean-Pierre Jeunet,173924742
tt0093058,Full Metal Jacket,1987-10-09 00:00:00,"Drama, War",116.0,UK,"8.2
/10",Stanley Kubrick,46357676
tt0090605,Aliens,1986-09-24 00:00:00,"Action, Adventure, Sci-Fi",137.0,USA,R,James Cameron,131384634
tt0062622,2001: A Space Odyssey,1968-12-12 00:00:00,"Adventure, Sci-Fi",149.0,UK,G,Stanley Kubrick,68989547
tt0033467,Citizen Kane,1948-11-25 00:00:00,"Drama, Mystery",119.0,USA,"8.2
/10",Orson Welles,1594107
tt8579674,1917,2020-01-23 00:00:00,"Drama, War",119.0,USA,,Sam Mendes,384857224
tt0086879,Amadeus,1985-02-15 00:00:00,"Biography, Drama, History",160.0,USA,R,Milos Forman,52066791
tt0052357,Vertigo,1958-11-18 00:00:00,"Mystery, Romance, Thriller",128.0,USA,"8.2
/10",Alfred Hitchcock,7796389
tt0053125,North by Northwest,1959-10-28 00:00:00,"Adventure, Mystery, Thriller",136.0,USA,"8.3
/10",Alfred Hitchcock,73446
tt2106476,Jagten,2012-11-22 00:00:00,Drama,115.0,Denmark,R,Thomas Vinterberg,15843274
tt0056172,Lawrence of Arabia,1963-10-29 00:00:00,"Adventure, Biography, Drama",228.0,UK,PG,David Lean,45710874
tt0070735,The Sting,1974-03-21 00:00:00,"Comedy, Crime, Drama",129.0,USA,PG,George Roy Hill,156000000
tt0082096,Das Boot,1982-03-18 00:00:00,"Adventure, Drama, Thriller",149.0,West Germany,R,Wolfgang Petersen,11487676
tt0059578,Per qualche dollaro in più,1965-12-20 00:00:00,Western,132.0,Italy,"8.2
/10",Sergio Leone,15000000
tt1832382,Jodaeiye Nader az Simin,2011-10-21 00:00:00,Drama,123.0,Iran,PG-13,Asghar Farhadi,22926076
tt0045152,Singin' in the Rain,1953-02-05 00:00:00,"Comedy, Musical, Romance",103.0,USA,"8.3
/10",Stanley Donen,1864182
